name,domain,verdict,detail,final_url
Certas Energy,certasenergy.co.uk,ok,page names certas,https://certasenergy.co.uk/
Cevian Capital,cevian.com,ok,page names cevian,https://cevian.com/
Chainalysis,chainalysis.com,ok,page names chainalysis,https://www.chainalysis.com/
Chainlink Labs,chainlinklabs.com,ok,page names chainlink/labs,https://chainlinklabs.com/
Chariot Limited,chariotenergygroup.com,ok,page names chariot,https://chariotenergygroup.com/
Charles River Associates,crai.com,ok,page names charles/river/associates,https://www.crai.com/
Charles Stanley,charles-stanley.co.uk,ok,page names charles/stanley,https://charles-stanley.co.uk/
Charterhouse Capital Partners,charterhouse.co.uk,ok,page names charterhouse,https://www.charterhouse.co.uk/
Checkout.com,checkout.com,ok,page names checkout/com,https://www.checkout.com/
Chelverton Asset Management,chelvertonam.com,ok,page names chelverton,https://www.chelvertonam.com/
Chemical Industries Association,cia.org.uk,ok,page names chemical/industries/association,https://www.cia.org.uk:443/
Chemoil,chemoil.com,ok,page names chemoil,https://www.chemoil.com/
Chenavari Investment Managers,chenavari.com,ok,page names chenavari/managers,https://www.chenavari.com/
Cheniere Marketing,cheniere.com,ok,page names cheniere,https://www.cheniere.com/
Chesapeake Capital,chesapeakecapital.com,ok,page names chesapeake,https://chesapeakecapital.com/
Chevron,chevron.com,ok,page names chevron,https://www.chevron.com/
Cheyne Capital,cheynecapital.com,ok,page names cheyne,https://cheynecapital.com/
Chloris Geospatial,chloris.earth,ok,page names chloris/geospatial,https://www.chloris.earth/
Chubb,chubb.com,ok,page names chubb,https://www.chubb.com/us-en/
Cinven,cinven.com,ok,page names cinven,https://www.cinven.com/
Circle K Europe,circlek.com,ok,page names circle,https://www.circlek.com:443/
Circle Square,circlesquare.co.uk,ok,page names circle/square,https://www.circlesquare.co.uk/
Citi,citi.com,ok,page names citi,https://www.citi.com/
City of London Investment Group,citlon.com,ok,page names city,https://citlon.com/
Clareville Capital,clarevillecapital.com,ok,page names clareville,https://www.hugedomains.com/domain_profile.cfm?d=clarevillecapital.com
Clariant,clariant.com,ok,page names clariant,https://www.clariant.com/en/Corporate
Clarksons,clarksons.com,ok,page names clarksons,https://www.clarksons.com/
Clear Street,clearstreet.io,ok,page names clear/street,https://www.clearstreet.io/
ClearBank,clear.bank,ok,page names clearbank,https://clear.bank/
ClearBlue Markets,clearbluemarkets.com,ok,page names clearblue,https://www.clearbluemarkets.com/
Clearlake Shipping,clearlakeshipping.com,ok,page names clearlake/shipping,https://clearlakeshipping.com/
Clearstone Energy,clearstoneenergy.com,ok,page names clearstone,https://www.clearstoneenergy.com/
Clearstream,clearstream.com,ok,page names clearstream,https://www.clearstream.com/clearstream-en
Climate Change Committee,theccc.org.uk,ok,page names climate/change/committee,https://www.theccc.org.uk/
Climate Impact Partners,climateimpact.com,ok,page names climate/impact,https://www.climateimpact.com/
ClimatePartner,climatepartner.com,ok,page names climatepartner,https://www.climatepartner.com/en
ClimeCo,climeco.com,ok,page names climeco,https://www.climeco.com/
Close Brothers,closebrothers.com,ok,page names close/brothers,https://www.closebrothers.com/
Cobalt Institute,cobaltinstitute.org,ok,page names cobalt/institute,https://www.cobaltinstitute.org/
Codelco,codelco.com,ok,page names codelco,https://codelco.com/
CoinShares,coinshares.com,ok,page names coinshares,https://coinshares.com/
Coinbase,coinbase.com,ok,page names coinbase,https://www.coinbase.com/
Coleman Research,colemanrg.com,ok,page names coleman,https://www.colemanrg.com/
Columbia Threadneedle,columbiathreadneedle.com,ok,page names columbia/threadneedle,https://www.columbiathreadneedle.com/en/
Comexim,comexim.com.br,ok,page names comexim,https://comexim.com.br/
Commercial Bank of Dubai,cbd.ae,ok,page names commercial/dubai,https://www.cbd.ae/
Commerzbank,commerzbank.com,ok,page names commerzbank,https://www.commerzbank.de/group/
Commission de Regulation de lEnergie,cre.fr,ok,page names commission,https://www.cre.fr/
Community Windpower,communitywindpower.co.uk,ok,page names community/windpower,https://cwpenergy.uk/
Compass Lexecon,compasslexecon.com,ok,page names compass/lexecon,https://www.compasslexecon.com/
Compass Maritime,compassmar.com,ok,page names compass/maritime,https://compassmar.com/
Compensate,compensate.com,ok,page names compensate,https://www.compensate.com/
ComplyAdvantage,complyadvantage.com,ok,page names complyadvantage,https://complyadvantage.com/
Concord Resources,concordresources.com,ok,page names concord,https://www.concordltd.com/
Concord Resources Metals,concordresources.co.uk,ok,page names concord/metals/concordresources,https://www.concordltd.com/
Conduit Re,conduitreinsurance.com,ok,page names conduit,https://www.conduitreinsurance.com/
Connected Kerb,connectedkerb.com,ok,page names connected/kerb,https://connectedkerb.com/
ConocoPhillips,conocophillips.com,ok,page names conocophillips,https://www.conocophillips.com/
Conrad Energy,conradenergy.co.uk,ok,page names conrad,https://conradenergy.co.uk/
Consensys,consensys.io,ok,page names consensys,https://consensys.io/
Contrarian Capital,contrariancapital.com,ok,page names contrarian,https://www.contrariancapital.com/
Convert Energy,convertenergy.co.uk,ok,page names convert,https://convertenergy.co.uk/
Convex,convexin.com,ok,page names convex,https://convexin.com/
Cool Effect,cooleffect.org,ok,page names cool/effect,https://www.cooleffect.org/
Copenhagen Infrastructure Partners,cipartners.dk,ok,page names copenhagen/infrastructure,https://www.cip.com
Copersucar,copersucar.com.br,ok,page names copersucar,https://www.copersucar.com.br/
Copper,copper.co,ok,page names copper,https://copper.co/en
Corcel,corcelplc.com,ok,page names corcel,https://www.corcelplc.com/
Corio Generation,coriogeneration.com,ok,page names corio/generation,https://www.coriogeneration.com/
Corlytics,corlytics.com,ok,page names corlytics,https://www.corlytics.com/
Cornwall Energy,cornwall-insight.com,ok,page names cornwall,https://www.cornwall-insight.com/
Cornwall Insight Australia,cornwall-insight.com.au,ok,page names cornwall/insight,https://www.cornwall-insight.com
Coro Energy,coroenergyplc.com,ok,page names coro,https://coroenergyplc.com/
Corona Energy,coronaenergy.co.uk,ok,page names corona,https://www.coronaenergy.co.uk/
Corpay,corpay.com,ok,page names corpay,https://www.corpay.com/
Cotecna,cotecna.com,ok,page names cotecna,https://www.cotecna.com/en
Covestro,covestro.com,ok,page names covestro,https://www.covestro.com/
Crabel Capital Management,crabel.com,ok,page names crabel,https://crabel.com/
Cristal Union,cristal-union.fr,ok,page names cristal/union,https://www.cristal-union.fr/
Croda International,croda.com,ok,page names croda,https://www.croda.com/en-gb
Crown Estate,thecrownestate.co.uk,ok,page names crown/estate,https://www.thecrownestate.co.uk/
Crown Estate Scotland,crownestatescotland.com,ok,page names crown/estate/scotland,https://crownestatescotland.com/
Crown Gas and Power,crowngas.co.uk,ok,page names crown/gas/power,https://www.crowngasandpower.co.uk/
Crown Oil,crownoil.co.uk,ok,page names crown/oil,https://www.crownoil.co.uk/
Crypto.com,crypto.com,ok,page names crypto/com,https://crypto.com/us
Crystal Amber,crystalamber.com,ok,page names crystal/amber,https://crystalamber.com/
Cubico Sustainable Investments,cubicoinvest.com,ok,page names cubico/sustainable,https://www.cubicoinvest.com/
Cumberland,cumberland.io,ok,page names cumberland,https://www.cumberland.io/
Cyrus Capital Partners,cyruscapital.com,ok,page names cyrus,https://www.cyruscapital.com/
Czarnikow,czarnikow.com,ok,page names czarnikow,https://www.czarnikow.com/wp-signup.php?new=czarnikow.com
DBS Bank,dbs.com,ok,page names dbs,https://www.dbs.com/default.page
DE Shaw,deshaw.com,ok,page names shaw,https://www.deshaw.com/
DEPA Commercial,,ok,no domain claimed,
DESFA,,ok,no domain claimed,
DHT Holdings,dhtankers.com,ok,page names dht,https://www.dhtankers.com/
DNB,dnb.no,ok,page names dnb,https://www.dnb.no/
DRW,drw.com,ok,page names drw,https://www.drw.com/
DWS,dws.com,ok,page names dws,https://www.dws.com/en-us/
Dale Underwriting Partners,daleuw.com,ok,page names dale/underwriting,https://www.daleuw.com/
Dan-Bunkering,dan-bunkering.com,ok,page names dan/bunkering,https://dan-bunkering.com/
Danske Bank,danskebank.com,ok,page names danske,https://danskebank.com/
Danske Commodities,danskecommodities.com,ok,page names danske,https://danskecommodities.com/
Dartmouth Partners,dartmouthpartners.com,ok,page names dartmouth,https://www.dartmouthpartners.com/
Davidson Kempner,dkpartners.com,ok,page names davidson/kempner,https://www.davidsonkempner.com/
Dealogic,dealogic.com,ok,page names dealogic,https://dealogic.com/
Delfin Midstream,delfinlng.com,ok,page names delfin/midstream,https://delfinmidstream.com
Deloitte,deloitte.com,ok,page names deloitte,https://www.deloitte.com/us/en.html
Delta-EE,delta-ee.com,ok,page names delta,https://www.lcp.com/en/lcp-delta-standard-terms-and-conditions
Deltic Energy,delticenergy.com,ok,page names deltic,https://delticenergy.com/
Department for Energy Security and Net Zero,gov.uk,ok,page names gov,https://www.gov.uk/
Deribit,deribit.com,ok,page names deribit,https://www.deribit.com/
Deribit Europe,deribit.eu,ok,page names deribit,https://deribit.eu/
Deutsche Bank,db.com,ok,page names deutsche,https://www.db.com:443/
Deutsche Boerse,deutsche-boerse.com,ok,page names deutsche,https://deutsche-boerse.com/dbg-de/
Diamond Offshore,diamondoffshore.com,ok,page names offshore,https://noblecorp.com/
Dimensional Fund Advisors,dimensional.com,ok,page names dimensional/fund,https://www.dimensional.com/
Diversified Energy,div.energy,ok,page names diversified,https://www.div.energy/
Dorian LPG,dorianlpg.com,ok,page names dorian/lpg,https://dorianlpg.com/overview/default.aspx
Doric Shipbrokers,doric.gr,ok,page names doric/shipbrokers,https://www.doric.gr/
Dow Jones,dowjones.com,ok,page names dow/jones,https://www.dowjones.com/
Downing,downing.co.uk,ok,page names downing,https://www.downing.co.uk/
Dragon LNG,dragonlng.co.uk,ok,page names dragon/lng,https://www.dragonlng.co.uk/
Drax,drax.com,ok,page names drax,https://www.drax.com/
Drax Biomass,draxbiomass.com,ok,page names drax,https://www.drax.com/us/?source=draxbiomass
Dubai Financial Market,dfm.ae,ok,page names dubai,https://www.dfm.ae/
Dunedin,dunedin.com,ok,page names dunedin,https://www.dunedin.com/
Dunn Capital Management,dunncapital.com,ok,page names dunn,https://dunncapital.com/
Durlston Partners,durlstonpartners.com,ok,page names durlston,https://durlstonpartners.com/
E-Control,e-control.at,ok,page names control,https://www.e-control.at/
E3G,e3g.org,ok,page names e3g,https://www.e3g.org/
EBRD,,ok,no domain claimed,
ECOM Agroindustrial,ecomtrading.com,ok,page names ecom/agroindustrial,https://ecomtrading.com/
ED and F Man,edfman.com,ok,page names man,https://www.edfman.com/
EDF Energy,edfenergy.com,ok,page names edf,https://www.edfenergy.com:443/
EDF Group,edf.fr,ok,page names edf,https://www.edf.fr/
EDF Renewables UK,edf-re.uk,ok,page names edf,https://www.edf-powersolutions.uk/
EDP Energias de Portugal,edp.com,ok,page names edp,https://edp.com/en
EDP Renewables,edpr.com,ok,page names edp,https://edp.com/en/edprcom-has-new-home
EEX,eex.com,ok,page names eex,https://www.eex.com/en/
ELES Slovenia,eles.si,ok,page names eles,https://eles.si/
EMR Metal Recycling,emrgroup.com,ok,page names emr/metal/recycling,https://uk.emrgroup.com/
ENTSO-E,entsoe.eu,ok,page names entso,https://www.entsoe.eu/
ENTSOG,entsog.eu,ok,page names entsog,https://www.entsog.eu
EPEX Spot,epexspot.com,ok,page names epex/spot,https://www.epexspot.com/en
EQT,eqtgroup.com,ok,page names eqt,https://eqtgroup.com/
ERCE,erce.energy,ok,page names erce,https://sproule-erce.com/
ERG,erg.eu,ok,page names erg,https://www.erg.eu/it/home
ERM,erm.com,ok,page names erm,https://www.erm.com/
ESAI Energy,esaienergy.com,ok,page names esai,https://www.esaienergy.com/home
ETG Commodities,etgworld.com,ok,page names etg,https://etgworld.com/
EVN,evn.at,ok,page names evn,https://www.evn.at/
EWE Trading,ewe.com,ok,page names ewe,https://www.ewe.com:443/
EWZ Zurich,ewz.ch,ok,page names ewz,https://www.ewz.ch/en/private-customers.html
EY,ey.com,ok,page names ey,https://www.ey.com/en_us
Eagle Alpha,eaglealpha.com,ok,page names eagle/alpha,https://www.eaglealpha.com/
Eames Consulting,eamesconsulting.com,ok,page names eames/consulting,https://www.eamesconsulting.com/
Earthly,earthly.org,ok,page names earthly,https://earthly.org/
Eastman Chemical,eastman.com,ok,page names eastman/chemical,https://www.eastman.com/en
Ebury,ebury.com,ok,page names ebury,https://ebury.com/en-gb
Eclipse Trading,eclipsetrading.com,ok,page names eclipse,https://www.eclipsetrading.com/
EcoAct,eco-act.com,ok,page names ecoact,https://eco-act.com/
Ecobank,ecobank.com,ok,page names ecobank,https://ecobank.com/personal-banking
Ecobat,ecobat.com,ok,page names ecobat,https://ecobat.com/
Ecofin Global Utilities,ecofininvest.com,ok,page names ecofin,https://www.redwheel.com/uk/en/institutional/
Ecology Building Society,ecology.co.uk,ok,page names ecology/building/society,https://www.ecology.co.uk/
Economic Consulting Associates,eca-uk.com,ok,page names economic/consulting/associates,https://www.eca-uk.com/
Ecopetrol,ecopetrol.com.co,ok,page names ecopetrol,https://www.ecopetrol.com.co/wps/portal/
Ecosecurities,ecosecurities.com,ok,page names ecosecurities,https://ecosecurities.com/
Ecotricity,ecotricity.co.uk,ok,page names ecotricity,https://www.ecotricity.co.uk/
Edison,edison.it,ok,page names edison,https://www.edison.it/it/
EelPower,eelpower.co.uk,ok,page names eelpower,https://eelpower.co.uk/
Eesti Energia,energia.ee,ok,page names energia,https://www.enefit.ee/
Egdon Resources,egdon-resources.com,ok,page names egdon,https://www.egdon-resources.com/
Egerton Capital,egertoncapital.com,ok,page names egerton,https://www.egertoncapital.com/
Egon Zehnder,egonzehnder.com,ok,page names egon/zehnder,https://www.egonzehnder.com/
EirGrid,eirgrid.ie,ok,page names eirgrid,https://www.eirgrid.ie/
Eku Energy,ekuenergy.com,ok,page names eku,https://www.ekuenergy.com/en-gb
ElecLink,eleclink.co.uk,ok,page names eleclink,https://www.eleclink.co.uk/
Electron,electron.net,ok,page names electron,https://electron.net/
Elektrilevi,elektrilevi.ee,ok,page names elektrilevi,https://elektrilevi.ee/
Element Capital Management,elementcapital.com,ok,page names element,https://www.elementcapital.com/
Elementis,elementis.com,ok,page names elementis,https://www.elementis.com/
Elengy,elengy.com,ok,page names elengy,https://www.elengy.com:443/
Elering,elering.ee,ok,page names elering,https://elering.ee/
Elexon,elexon.co.uk,ok,page names elexon,https://www.elexon.co.uk/
Elexonhub,elexonportal.co.uk,ok,page names elexonportal,https://elexonportal.co.uk/news/latest?cachebust=n8lz3hevd3
Ellington Management,ellington.com,ok,page names ellington,https://www.ellington.com/
Elliott Management,elliottmgmt.com,ok,page names elliott,https://www.elliottmgmt.com/
Elliptic,elliptic.co,ok,page names elliptic,https://www.elliptic.co/
Elwood Technologies,elwood.io,ok,page names elwood,https://www.elwood.io/
Emergent Forest Finance,emergentclimate.com,ok,page names emergent/forest,https://www.emergentclimate.com/
Emirates NBD,emiratesnbd.com,ok,page names emirates/nbd,https://www.emiratesnbd.com/en
Empire Engineering,empireengineering.co.uk,ok,page names empire/engineering,https://www.empireengineering.co.uk/
Empyrean Energy,empyreanenergy.com,ok,page names empyrean,https://www.empyreanenergy.com/
EnAppSys,enappsys.com,ok,page names enappsys,https://www.enappsys.com/
EnBW,enbw.com,ok,page names enbw,https://www.enbw.com/
EnCap Investments,encapinvestments.com,ok,page names encap,https://encapinvestments.com/
EnQuest,enquest.com,ok,page names enquest,https://www.enquest.com/
Enagas,enagas.es,ok,page names enagas,https://www.enagas.es/es/
Enbridge,enbridge.com,ok,page names enbridge,https://www.enbridge.com/
Encavis,encavis.com,ok,page names encavis,https://www.encavis.com/en
Encompass Corporation,encompasscorporation.com,ok,page names encompass,https://www.encompasscorporation.com/
Encyclis,encyclis.com,ok,page names encyclis,https://www.encyclis.com/
Endesa,endesa.com,ok,page names endesa,https://www.endesa.com/
Enea,enea.pl,ok,page names enea,https://www.enea.pl/
Eneco,eneco.com,ok,page names eneco,https://www.eneco.nl/en/about-us/
Eneco Energy Trade,eneco.nl,ok,page names eneco,https://www.eneco.nl/
Enel,enel.com,ok,page names enel,https://www.enel.com/
Enel Global Trading,enel.it,ok,page names enel,https://www.enel.it/it-it
Enel Green Power,enelgreenpower.com,ok,page names enel/green/power,https://www.enelgreenpower.com/
Eneos,hd.eneos.co.jp,ok,page names eneos,https://www.hd.eneos.co.jp/
Enerdata,enerdata.net,ok,page names enerdata,https://www.enerdata.net:443/
Energa,energa.pl,ok,page names energa,https://www.energa.pl/dom
Energie Baden,enbw.de,ok,page names energie/baden,https://www.enbw.com/
Energie Steiermark,e-steiermark.com,ok,page names energie/steiermark,https://e-steiermark.com/privat
Energinet,energinet.dk,ok,page names energinet,https://www.energinet.dk/
Energy Aspects,energyaspects.com,ok,page names aspects,https://www.energyaspects.com/
Energy Edge,energyedge.com,ok,page names edge,https://energyedge.com/
Energy Exemplar,energyexemplar.com,ok,page names exemplar,https://www.energyexemplar.com/
Energy Intelligence,energyintel.com,ok,page names intelligence,https://www.energyintel.com/
Energy Resourcing,energyresourcing.com,ok,page names resourcing,https://www.airswift.com/news/airswift-completes-energy-resourcing-acquisition
Energy Systems Catapult,es.catapult.org.uk,ok,page names systems/catapult,https://es.catapult.org.uk/
Energy UK,energy-uk.org.uk,ok,page names energy,https://www.energy-uk.org.uk/
EnergyScan,energyscan.engie.com,ok,page names energyscan,https://energyscan.engie.com/
Enfinium,enfinium.co.uk,ok,page names enfinium,https://enfinium.co.uk/
Engie France,engie.fr,ok,page names engie/france,https://www.engie.fr:443/
Engie Global Markets,engie.com,ok,page names engie,https://www.engie.com:443/
Engine Capital,enginecap.com,ok,page names engine,https://enginecap.com/
Eni,eni.com,ok,page names eni,https://www.eni.com/en-IT/home.html
Enko Capital,enkocapital.com,ok,page names enko,https://enkocapital.com/
Enovos,enovos.lu,ok,page names enovos,https://www.enovos.lu/fr/
Enso Energy,ensoenergy.co.uk,ok,page names enso,https://ensoenergy.co.uk/
Enspired,enspired-trading.com,ok,page names enspired,https://www.enspired-trading.com/
Enverus,enverus.com,ok,page names enverus,https://www.enverus.com/
EnviaM,enviam.de,ok,page names enviam,https://www.enviam.de/
Enviva,enviva.com,ok,page names enviva,https://domains.atom.com/lpd/name/enviva.com
Enwell Energy,enwellenergy.com,ok,page names enwell,https://www.hugedomains.com/domain_profile.cfm?d=enwellenergy.com
Equinor,equinor.com,ok,page names equinor,https://www.equinor.com/
Equitix,equitix.co.uk,ok,page names equitix,https://equitix.com
Eramet,eramet.com,ok,page names eramet,https://www.eramet.com:443/en/
Erste Group,erstegroup.com,ok,page names erste,https://www.erstegroup.com/en/home
Essar Oil UK,essaroil.co.uk,ok,page names essar/oil,https://www.eetfuels.com/
Essent,essent.nl,ok,page names essent,https://www.essent.nl/
Estlander and Partners,estlanderpartners.com,ok,page names estlander,https://estlanderpartners.com/
Eunomia,eunomia.eco,ok,page names eunomia,https://eunomia.eco/
Eurazeo,eurazeo.com,ok,page names eurazeo,https://www.eurazeo.com/en
Eurex,eurex.com,ok,page names eurex,https://www.eurex.com/ex-en/
Euroclear,euroclear.com,ok,page names euroclear,https://www.euroclear.com/en.html
Euronext,euronext.com,ok,page names euronext,https://www.euronext.com/en
Europa Oil and Gas,europaoil.com,ok,page names europa/oil/gas,https://www.europaoil.com/
European Investment Bank,eib.org,ok,page names european,https://www.eib.org/en/index
Eustream,eustream.sk,ok,page names eustream,https://www.eustream.sk/sk/
Ev.energy,ev.energy,ok,page names energy,https://www.ev.energy/en-gb
Evelyn Partners,evelyn.com,ok,page names evelyn,https://www.evelyn.com/
Evenlode Investment,evenlodeinvestment.com,ok,page names evenlode,https://evenlodeinvestment.com/
Eventus Systems,eventus.com,ok,page names eventus,https://www.eventus.com/
Evercore,evercore.com,ok,page names evercore,https://www.evercore.com/
Everest Insurance,everestglobal.com,ok,page names everest,https://www.everestglobal.com/us-en
Everoze,everoze.com,ok,page names everoze,https://everoze.com/
Evolution Markets,evomarkets.com,ok,page names evolution,https://www.xpansiv.com/markets/evolution-markets
Evonik,evonik.com,ok,page names evonik,https://www.evonik.com/en.html
Exabel,exabel.com,ok,page names exabel,https://www.exabel.com/
Exagen,exagen.co.uk,ok,page names exagen,https://exagen.co.uk/
Excelerate Energy,excelerateenergy.com,ok,page names excelerate,https://excelerateenergy.com/
Exmar,exmar.be,ok,page names exmar,https://exmar.com/en/
ExodusPoint,exoduspoint.com,ok,page names exoduspoint,https://www.exoduspoint.com
Exolum,exolum.com,ok,page names exolum,https://exolum.com/
Expro Group,expro.com,ok,page names expro,https://www.expro.com/
ExxonMobil,exxonmobil.com,ok,page names exxonmobil,https://corporate.exxonmobil.com
FGE,fgenergy.com,ok,page names fge,https://fgenergy.com/
FGSZ,fgsz.hu,ok,page names fgsz,https://fgsz.hu/
FTI Consulting,fticonsulting.com,ok,page names fti/consulting,https://www.fticonsulting.com/
Fabric Ventures,fabric.vc,ok,page names fabric,https://www.fabric.vc/
FactSet,factset.com,ok,page names factset,https://www.factset.com/
FalconX,falconx.io,ok,page names falconx,https://www.falconx.io/
Farallon Capital,faralloncapital.com,ok,page names farallon,https://www.faralloncapital.com/
Fastmarkets,fastmarkets.com,ok,page names fastmarkets,https://www.fastmarkets.com/
Fearnley Securities,fearnleysecurities.com,ok,page names fearnley,https://fearnleysecurities.com/
Fearnleys,fearnleys.com,ok,page names fearnleys,https://fearnleys.com/
Featurespace,featurespace.com,ok,page names featurespace,https://www.featurespace.com/
Federated Hermes,federatedhermes.com,ok,page names federated/hermes,https://www.federatedhermes.com/us/campaigns/site.do
Federation of Oils Seeds and Fats Associations,fosfa.org,ok,page names federation/oils/seeds,https://www.fosfa.org/
Fenergo,fenergo.com,ok,page names fenergo,https://www.fenergo.com/
Ferrexpo,ferrexpo.com,ok,page names ferrexpo,https://www.ferrexpo.com/
Fichtner,fichtner.de,ok,page names fichtner,https://www.fichtner.de/
Fidelis Insurance,fidelisinsurance.com,ok,page names insurance,https://www.pelagosinsurancecapital.com/
Fidelity International,fidelityinternational.com,ok,page names fidelity,https://www.fidelityinternational.com/
Fidessa,fidessa.com,ok,page names fidessa,https://iongroup.com/products/markets/fidessa/
Fidra Energy,fidraenergy.com,ok,page names fidra,https://fidraenergy.com/
Field,field.energy,ok,page names field,https://www.field.energy/
Financial Conduct Authority,fca.org.uk,ok,page names conduct/authority,https://www.fca.org.uk/
Financial Times,ft.com,ok,page names times,https://www.ft.com/
Finastra,finastra.com,ok,page names finastra,https://www.finastra.com/
Findlay Park,findlaypark.com,ok,page names findlay/park,https://www.findlaypark.com/
Fingrid,fingrid.fi,ok,page names fingrid,https://www.fingrid.fi/
Finisterre Capital,finisterrecapital.com,ok,page names finisterre,https://finisterrecapital.com/
Finsbury Glover Hering,fgsglobal.com,ok,page names fgsglobal,https://fgsglobal.com/
Fireblocks,fireblocks.com,ok,page names fireblocks,https://www.fireblocks.com/
First Abu Dhabi Bank,bankfab.com,ok,page names first/abu/dhabi,https://www.bankfab.com/en-ae/personal
First Climate,firstclimate.com,ok,page names first/climate,https://www.firstclimate.com/
First Quantum Minerals,first-quantum.com,ok,page names first/quantum/minerals,https://www.first-quantum.com/
Fitch Ratings,fitchratings.com,ok,page names fitch/ratings,https://www.fitchratings.com/
Five Rings,fiverings.com,ok,page names five/rings,https://fiverings.com/
Flex LNG,flexlng.com,ok,page names flex/lng,https://www.flexlng.com/
Flexitricity,flexitricity.com,ok,page names flexitricity,https://flexitricity.com/
Florin Court Capital,florincourt.com,ok,page names florin/court,https://florincourt.com/
Flotation Energy,flotationenergy.com,ok,page names flotation,https://flotationenergy.com/
Flow Traders,flowtraders.com,ok,page names flow/traders,https://flowtraders.com/
Flowdesk,flowdesk.co,ok,page names flowdesk,https://www.flowdesk.co/
Fluence Energy,fluenceenergy.com,ok,page names fluence,https://fluenceenergy.com/
Fluor,fluor.com,ok,page names fluor,https://www.fluor.com/
Fluxys,fluxys.com,ok,page names fluxys,https://www.fluxys.com/
Force 9 Energy,force9energy.com,ok,page names force,https://force9energy.com/
Forensic Risk Alliance,forensicrisk.com,ok,page names forensic/risk/alliance,https://www.forensicrisk.com/
Foresight Group,foresightgroup.eu,ok,page names foresight,https://foresight.group/
Forliance,forliance.com,ok,page names forliance,https://forliance.com/
Fortress Investment Group,fortress.com,ok,page names fortress,https://www.fortress.com/
Franco-Nevada,franco-nevada.com,ok,page names franco/nevada,https://www.franco-nevada.com/home/default.aspx
Franklin Templeton,franklintempleton.com,ok,page names franklin/templeton,https://www.franklintempleton.com
Fratelli Cosulich Bunkers,cosulichgroup.com,ok,page names cosulich,https://www.cosulichgroup.com/
Fred Olsen Renewables,fredolsenrenewables.com,ok,page names fred/olsen/renewables,https://fredolsenrenewables.com/
Freepoint Commodities,freepoint.com,ok,page names freepoint,https://www.freepoint.com/
Freeport LNG,freeportlng.com,ok,page names freeport/lng,https://freeportlng.com/
Freestone Grove Partners,freestonegrove.com,ok,page names freestone/grove,https://fgrovep.com/
Freight Investor Services,freightinvestorservices.com,ok,page names freight/investor/services,https://freightinvestorservices.com/
Freightos,freightos.com,ok,page names freightos,https://www.freightos.com/
Frontier Agriculture,frontierag.co.uk,ok,page names frontier/agriculture,https://www.frontierag.co.uk/
Frontier Economics Australia,frontier-economics.com.au,ok,page names frontier/economics,https://www.frontier-economics.com.au/
Frontline,frontline.bm,ok,page names frontline,https://www.frontlineplc.cy/
Fundsmith,fundsmith.co.uk,ok,page names fundsmith,https://www.fundsmith.co.uk/
Fuse Energy,fuse.energy,ok,page names fuse,https://fuse.energy/
Futures Industry Association,fia.org,ok,page names futures,https://www.fia.org/
Fuuse,fuuse.io,ok,page names fuuse,https://fuuse.io/
G-Research,gresearch.com,ok,page names research,https://www.gresearch.com/
GAM Investments,gam.com,ok,page names gam,https://www.gam.com/
GE Vernova,gevernova.com,ok,page names vernova,https://www.gevernova.com/
GEN-I,gen-i.si,ok,page names gen,https://gen-i.si/
GH Financials,ghf.com,ok,page names ghf,https://ghf.com/
GMO,gmo.com,ok,page names gmo,https://www.gmo.com/
GS Caltex,gscaltex.com,ok,page names caltex,https://www.gscaltex.com/kr/
GSA Capital,gsacapital.com,ok,page names gsa,https://gsacapital.com/
GSR,gsr.io,ok,page names gsr,https://www.gsr.io/
Galaxy Digital,galaxy.com,ok,page names galaxy/digital,https://www.galaxy.com/
Galena Asset Management,galena-invest.com,ok,page names galena,https://galena-invest.com/
Gallagher,ajg.com,ok,page names gallagher,https://www.ajg.com/
Galp Energia,galp.com,ok,page names galp,https://www.galp.com/es/
Galp Power,galp.pt,ok,page names galp,https://www.galp.com/pt/
Gas Networks Ireland,gasnetworks.ie,ok,page names gas/networks/ireland,https://www.gasnetworks.ie/
GasLog,gaslogltd.com,ok,page names gaslog,https://www.gaslogltd.com/
Gascade,gascade.de,ok,page names gascade,https://www.gascade.de/
Gasgrid Finland,gasgrid.fi,ok,page names gasgrid,https://gasgrid.fi/
Gasum,gasum.com,ok,page names gasum,https://www.gasum.com/en/
Gasunie,gasunie.nl,ok,page names gasunie,https://www.gasunie.nl/
Gatemore Capital,gatemore.com,ok,page names gatemore,https://gatemore.com/
Gaz-System,gaz-system.pl,ok,page names gaz/system,https://www.gaz-system.pl/pl
Gelber Group,gelbergroup.com,ok,page names gelber,https://www.gelbergroup.com/
Gemini,gemini.com,ok,page names gemini,https://www.gemini.com/
Gemsstock,gemsstock.com,ok,page names gemsstock,https://www.gemsstock.fund/
Genel Energy,genelenergy.com,ok,page names genel,https://genelenergy.com/
General Atlantic,generalatlantic.com,ok,page names general/atlantic,https://www.generalatlantic.com/
General Index,general-index.com,ok,page names general/index,https://www.general-index.com/
Getec,getec.de,ok,page names getec,https://www.getec.de
Gibson Shipbrokers,gibsons.co.uk,ok,page names gibson/shipbrokers,https://www.gibsons.co.uk/
Gladstone Capital,gladstonecapital.com,ok,page names gladstone,https://www.gladstonecapital.com/
Glazer Capital,glazercapital.com,ok,page names glazer,https://www.glazercapital.com/
